county_fips,margin_2012,margin_2016,margin_2020,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,year,state,state_po,state_county,county_name,totalvotes,aggvotes_D,aggvotes_R,aggvotes_G,aggvotes_L,aggvotes_O,unique_id,proportion_D,proportion_R,proportion_G,proportion_L,proportion_O,proportion_explained_by_DR,votemargin_DR,norm_votes,log_votes
01019,-0.5495449432457307,-0.6900214292369329,-0.7283147711568165,-0.14047648599120222,-0.03829334191988365,0.14047648599120222,0.03829334191988365,2000,ALABAMA,AL,AL-CHEROKEE,CHEROKEE,7823,3497,4154,77,0,95,2000_01019,0.4470152115556692,0.5309983382334142,0.009842771315352166,0,0.012143678895564362,0.9780135497890834,-0.08398312667774505,0.0018345052545924187,8.964951211714654
01019,-0.5495449432457307,-0.6900214292369329,-0.7283147711568165,-0.14047648599120222,-0.03829334191988365,0.14047648599120222,0.03829334191988365,2004,ALABAMA,AL,AL-CHEROKEE,CHEROKEE,9049,3040,5923,0,0,86,2004_01019,0.33594872361586914,0.6545474638081556,0,0,0.009503812575975245,0.9904961874240248,-0.3185987401922865,0.00212200409674125,9.110520036693972
01019,-0.5495449432457307,-0.6900214292369329,-0.7283147711568165,-0.14047648599120222,-0.03829334191988365,0.14047648599120222,0.03829334191988365,2008,ALABAMA,AL,AL-CHEROKEE,CHEROKEE,9745,2306,7298,0,0,141,2008_01019,0.2366341713699333,0.748896870189841,0,0,0.014468958440225757,0.9855310415597742,-0.5122626988199077,0.0022852171425288407,9.184612223403452
01019,-0.5495449432457307,-0.6900214292369329,-0.7283147711568165,-0.14047648599120222,-0.03829334191988365,0.14047648599120222,0.03829334191988365,2012,ALABAMA,AL,AL-CHEROKEE,CHEROKEE,9779,2132,7506,0,0,141,2012_01019,0.21801820227017077,0.7675631455159014,0,0,0.014418652213927805,0.9855813477860722,-0.5495449432457307,0.0022931901936161657,9.188094763028863
01019,-0.5495449432457307,-0.6900214292369329,-0.7283147711568165,-0.14047648599120222,-0.03829334191988365,0.14047648599120222,0.03829334191988365,2016,ALABAMA,AL,AL-CHEROKEE,CHEROKEE,10733,1547,8953,0,0,233,2016_01019,0.14413491102208142,0.8341563402590143,0,0,0.021708748718904314,0.9782912512810957,-0.6900214292369329,0.002516904627066398,9.281171552736774
01019,-0.5495449432457307,-0.6900214292369329,-0.7283147711568165,-0.14047648599120222,-0.03829334191988365,0.14047648599120222,0.03829334191988365,2020,ALABAMA,AL,AL-CHEROKEE,CHEROKEE,12301,1624,10583,0,0,94,2020_01019,0.13202178684659785,0.8603365580034144,0,0,0.007641655149987806,0.9923583448500122,-0.7283147711568165,0.0028846029830936143,9.417517129768314
01037,-0.16283924843423797,-0.30445544554455445,-0.33491513049826616,-0.14161619711031648,-0.030459684953711708,0.14161619711031648,0.030459684953711708,2000,ALABAMA,AL,AL-COOSA,COOSA,4567,2104,2382,34,0,47,2000_01037,0.46069629954017954,0.52156776877600175,0.007444712064812787,0,0.010291219619005912,0.9822640683161813,-0.060871469235822206,0.001070968362229781,8.426830751335846
01037,-0.16283924843423797,-0.30445544554455445,-0.33491513049826616,-0.14161619711031648,-0.030459684953711708,0.14161619711031648,0.030459684953711708,2004,ALABAMA,AL,AL-COOSA,COOSA,5001,2055,2905,0,0,41,2004_01037,0.41091781643671266,0.5808838232353529,0,0,0.008198360327934412,0.9918016396720656,-0.16996600679864027,0.0011727420143444569,8.517593111437565
01037,-0.16283924843423797,-0.30445544554455445,-0.33491513049826616,-0.14161619711031648,-0.030459684953711708,0.14161619711031648,0.030459684953711708,2008,ALABAMA,AL,AL-COOSA,COOSA,5563,2273,3248,0,0,42,2008_01037,0.408592486068668,0.5838576307747618,0,0,0.007549883156570196,0.9924501168434299,-0.17526514470609383,0.0013045318587878853,8.624072553043334
01037,-0.16283924843423797,-0.30445544554455445,-0.33491513049826616,-0.14161619711031648,-0.030459684953711708,0.14161619711031648,0.030459684953711708,2012,ALABAMA,AL,AL-COOSA,COOSA,5269,2191,3049,0,0,29,2012_01037,0.41582843044220913,0.5786676788764471,0,0,0.005503890681343709,0.9944961093186562,-0.16283924843423797,0.0012355884170327821,8.569785641535407
01037,-0.16283924843423797,-0.30445544554455445,-0.33491513049826616,-0.14161619711031648,-0.030459684953711708,0.14161619711031648,0.030459684953711708,2016,ALABAMA,AL,AL-COOSA,COOSA,5252,1782,3381,0,0,89,2016_01037,0.3392993145468393,0.6437547600913938,0,0,0.016945925361766947,0.983054074638233,-0.30445544554455445,0.0012316018914891196,8.566554620953962
01037,-0.16283924843423797,-0.30445544554455445,-0.33491513049826616,-0.14161619711031648,-0.030459684953711708,0.14161619711031648,0.030459684953711708,2020,ALABAMA,AL,AL-COOSA,COOSA,5479,1796,3631,0,0,52,2020_01037,0.3277970432560686,0.6627121737543348,0,0,0.009490782989596642,0.9905092170104034,-0.33491513049826616,0.0012848337325721414,8.608860379942062
01059,-0.40482549037664606,-0.6037375415282392,-0.6590872952774687,-0.19891205115159316,-0.05534975374922946,0.19891205115159316,0.05534975374922946,2000,ALABAMA,AL,AL-FRANKLIN,FRANKLIN,11103,4793,6119,72,0,119,2000_01059,0.43168513014500587,0.551112311987751,0.006484733855714671,0,0.010717824011528416,0.9827974421327569,-0.11942718184274514,0.0026036701830166975,9.315060682746585
