county_fips,margin_2012,margin_2016,margin_2020,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20
34033,0.013050405071014515,-0.15179358513595986,-0.12817640469311947,-0.16484399020697438,0.02361718044284039,0.16484399020697438,0.02361718044284039
34035,0.05589762247939434,0.12848521885264685,0.21078882378577307,0.07258759637325252,0.08230360493312622,0.07258759637325252,0.08230360493312622
34037,-0.21375472892408698,-0.3028087310795132,-0.19573669849931785,-0.08905400215542625,0.10707203258019538,0.08905400215542625,0.10707203258019538
34039,0.34045493754497663,0.35724743777452417,0.35670438869366894,0.016792500229547536,-5.430490808552291e-4,0.016792500229547536,5.430490808552291e-4
34041,-0.15460569913850236,-0.25544317166301084,-0.16233734186585952,-0.10083747252450848,0.09310582979715132,0.10083747252450848,0.09310582979715132
35001,0.16360174042049092,0.17737801370411638,0.24440945873610637,0.013776273283625462,0.06703144503198999,0.013776273283625462,0.06703144503198999
35003,-0.43994347621290625,-0.5061005368472425,-0.47420464316423044,-0.0661570606343363,0.0318958936830121,0.0661570606343363,0.0318958936830121
35005,-0.3195347920362705,-0.3619949681811455,-0.41326917078821906,-0.04246017614487502,-0.05127420260707355,0.04246017614487502,0.05127420260707355
35006,0.23814145335436127,0.06771673074538015,0.08648770077501972,-0.17042472260898112,0.018770970029639567,0.17042472260898112,0.018770970029639567
35007,0.02238029146426096,-0.08552138034508627,-0.10970744680851069,-0.10790167180934723,-0.024186066463424416,0.10790167180934723,0.024186066463424416
35009,-0.3837798165137614,-0.4423335826477188,-0.40639692735580424,-0.05855376613395741,0.03593665529191459,0.05855376613395741,0.03593665529191459
35011,-0.33148558758314856,-0.46923076923076923,-0.4716981132075471,-0.13774518164762067,-0.0024673439767778915,0.13774518164762067,0.0024673439767778915
35013,0.14779519142465708,0.17796682142452724,0.18338355053786864,0.030171629999870164,0.005416729113341401,0.030171629999870164,0.005416729113341401
35015,-0.33426747625720066,-0.4125692784868053,-0.5180432348634915,-0.07830180222960464,-0.10547395637668616,0.07830180222960464,0.10547395637668616
35017,0.13424275306154088,0.0771212239481695,0.07183927952892283,-0.05712152911337137,-0.005281944419246676,0.05712152911337137,0.005281944419246676
35019,0.4360655737704918,0.20525451559934327,0.14481498401096393,-0.23081105817114855,-0.060439531588379336,0.23081105817114855,0.060439531588379336
35021,-0.11148086522462558,-0.2941176470588235,-0.27722772277227725,-0.1826367818341979,0.016889924286546232,0.1826367818341979,0.016889924286546232
35023,0.04961240310077519,-0.06730769230769229,-0.15045592705167177,-0.11692009540846748,-0.08314823474397948,0.11692009540846748,0.08314823474397948
35025,-0.4976785189538643,-0.4835704607046071,-0.5961372980208433,0.014108058249257205,-0.11256683731623618,0.014108058249257205,0.11256683731623618
35027,-0.3266608959099762,-0.4004718040889687,-0.3636716475839317,-0.0738109081789925,0.036800156505036985,0.0738109081789925,0.036800156505036985
35028,0.037075276891308406,0.20238860817638948,0.2664931261693647,0.16531333128508108,0.06410451799297523,0.16531333128508108,0.06410451799297523
35029,-0.0116,-0.03879369431117202,-0.10428236455633721,-0.027193694311172023,-0.06548867024516519,0.027193694311172023,0.06548867024516519
35031,0.46946965205891744,0.39036077961572135,0.3861662765234463,-0.07910887244319609,-0.004194503092275037,0.07910887244319609,0.004194503092275037
35033,0.5208732286480275,0.35682097501024174,0.31347728965003724,-0.1640522536377858,-0.0433436853602045,0.1640522536377858,0.0433436853602045
35035,-0.2809314411353188,-0.2872881355932203,-0.2560773832251496,-0.006356694457901491,0.031210752368070693,0.006356694457901491,0.031210752368070693
35037,-0.2209333693013218,-0.3345464725643897,-0.37800154918667694,-0.1136131032630679,-0.04345507662228726,0.1136131032630679,0.04345507662228726
35039,0.525842403702014,0.40280951740825377,0.33569882126533557,-0.12303288629376019,-0.0671106961429182,0.12303288629376019,0.0671106961429182
35041,-0.3880046909029989,-0.4084033613445378,-0.4285714285714286,-0.020398670441538924,-0.020168067226890796,0.020398670441538924,0.020168067226890796
35045,-0.2810303436641651,-0.3270657124268055,-0.28284315600260074,-0.04603536876264036,0.04422255642420475,0.04603536876264036,0.04422255642420475
35047,0.5688591537057954,0.4624686075713887,0.38739051253143697,-0.10639054613440674,-0.07507809503995172,0.10639054613440674,0.07507809503995172
35043,0.05268218717062073,0.029210568973901785,0.08377524098116562,-0.023471618196718946,0.05456467200726384,0.023471618196718946,0.05456467200726384
35049,0.5108238862011698,0.5104152084441582,0.5375484938037385,-4.086777570115885e-4,0.02713328535958026,4.086777570115885e-4,0.02713328535958026
35051,-0.1889455115640925,-0.26983207874927617,-0.21480235492010097,-0.08088656718518367,0.0550297238291752,0.08088656718518367,0.0550297238291752
35053,0.18573613235089675,0.10148514851485152,0.06522346368715087,-0.08425098383604523,-0.036261684827700646,0.08425098383604523,0.036261684827700646
35055,0.6029076210965513,0.5203800786369593,0.5474652232116873,-0.08252754245959193,0.027085144574727993,0.08252754245959193,0.027085144574727993
35057,-0.1719775070290534,-0.30502846299810243,-0.33347067710479333,-0.13305095596904903,-0.0284422141066909,0.13305095596904903,0.0284422141066909
35059,-0.4343376918703809,-0.5264394829612221,-0.5617663499161543,-0.09210179109084121,-0.035326866954932146,0.09210179109084121,0.035326866954932146
35061,0.024740334679746068,-0.08603943171933898,-0.09607460420733027,-0.11077976639908504,-0.010035172487991295,0.11077976639908504,0.010035172487991295
36001,0.3223782095664599,0.2522134019881284,0.31276377102897357,-0.07016480757833149,0.06055036904084515,0.07016480757833149,0.06055036904084515
36003,-0.20710198784875833,-0.4088915043869035,-0.38703039004546547,-0.2017895165381452,0.02186111434143806,0.2017895165381452,0.02186111434143806
36005,0.8302102487503169,0.7905672278372655,0.6652050536657116,-0.039643020913051386,-0.12536217417155393,0.039643020913051386,0.12536217417155393
36007,0.06452522528045113,-0.020111069802026205,0.03433375403769223,-0.08463629508247733,0.05444482383971844,0.08463629508247733,0.05444482383971844
36009,-0.08784896025800387,-0.32717178524437596,-0.2934490833285739,-0.23932282498637208,0.03372270191580207,0.23932282498637208,0.03372270191580207
36011,0.1430588084314543,-0.11642348969010008,-0.0914853101196953,-0.2594822981215544,0.024938179570404784,0.2594822981215544,0.024938179570404784
36013,-0.03411413002346175,-0.23053803886860635,-0.19685460933578725,-0.1964239088451446,0.03368342953281911,0.1964239088451446,0.03368342953281911
