unique_id,year,state_po,county_name,votemargin_DR,proportion_explained_by_DR,delta_2012_16,delta_2016_20,abs_delta_2012_16,abs_delta_2016_20,margin_2012,margin_2016,margin_2020,totalvotes,Education,Immigration,Income,Unemployment,Marital
2020_08071,2020,CO,LAS ANIMAS,-9.9,97.7,-18.3,5.7,18.3,5.7,2.7,-15.6,-9.9,7961,20,3.3000000000000003,17.5,4.2,30.4
2020_08081,2020,CO,MOFFAT,-63.6,97.8,-13.4,4.3,13.4,4.3,-54.6,-67.9,-63.6,7026,21.5,7.199999999999999,25.9,3.2,32.2
2020_08093,2020,CO,PARK,-17,96.8,-11.4,9.1,11.4,9.1,-14.7,-26.1,-17,12291,32.6,1.2,43.5,3.5,22.9
2020_08109,2020,CO,SAGUACHE,13.9,97.3,-21.2,4.4,21.2,4.4,30.7,9.5,13.9,3389,22.4,7.000000000000001,18.4,5.8,28
2020_09011,2020,CT,NEW LONDON,16,97.8,-11.6,9.4,11.6,9.4,18.3,6.7,16,139604,34.4,8.6,42.9,3.3,36.1
2020_09015,2020,CT,WINDHAM,-4.3,97.8,-21.1,3.5,21.1,3.5,13.3,-7.8,-4.3,57082,23.7,4.7,36.1,4.5,37
2020_12013,2020,FL,CALHOUN,-62.3,99.3,-12.2,-6.1,12.2,6.1,-43.9,-56.1,-62.3,6526,9.1,2.6,12.6,1.7,39.9
2020_12027,2020,FL,DESOTO,-32,99.3,-13.4,-4.3,13.4,4.3,-14.3,-27.7,-32,12659,12.2,14.8,11.3,4.1,40.8
2020_12029,2020,FL,DIXIE,-66,99.5,-16.3,-2.8,16.3,2.8,-46.9,-63.2,-66,8167,9.5,2.7,15.5,1.6,31.4
2020_12043,2020,FL,GLADES,-46.2,99.5,-21.1,-6.5,21.1,6.5,-18.6,-39.6,-46.2,5193,11.5,10.2,14.000000000000002,3.8,35.9
2020_12047,2020,FL,HAMILTON,-31.8,99.1,-11.4,-3.6,11.4,3.6,-16.8,-28.2,-31.8,5830,8.2,4.6,12.8,3.6,51.5
2020_12077,2020,FL,LIBERTY,-60.4,99.4,-16,-3,16,3,-41.4,-57.4,-60.4,3561,13.6,3.2,13.5,3.2,46.3
2020_12079,2020,FL,MADISON,-19.5,99.4,-12.2,-3.9,12.2,3.9,-3.4,-15.6,-19.5,9380,13.8,4.6,10.4,1.8,44.1
2020_12093,2020,FL,OKEECHOBEE,-44.4,99.4,-19.5,-4.8,19.5,4.8,-20.1,-39.5,-44.4,15954,14.3,11.6,19.1,2.6,36.9
2020_12107,2020,FL,PUTNAM,-41.2,99.1,-11.9,-4.8,11.9,4.8,-24.5,-36.4,-41.2,36373,13.6,4.2,14.2,4.1,32.7
2020_12125,2020,FL,UNION,-65.3,99.1,-13.4,-2.9,13.4,2.9,-49,-62.4,-65.3,6245,10.5,2.3,26.3,1,41.7
2020_13055,2020,GA,CHATTOOGA,-61.8,98.7,-17.6,-3,17.6,3,-41.2,-58.8,-61.8,10050,9.7,3.2,12.1,2.3,38
2020_13065,2020,GA,CLINCH,-47.4,99.6,-12.2,-5,12.2,5,-30.2,-42.4,-47.4,2864,10.8,2.4,13.3,1.6,33.9
2020_13067,2020,GA,COBB,14.3,98.4,14.6,12.1,14.6,12.1,-12.4,2.2,14.3,393746,48.4,15.6,46.9,3.3,36
2020_13113,2020,GA,FAYETTE,-6.8,98.6,12,12.5,12,12.5,-31.3,-19.3,-6.8,71993,46.8,10.2,57.3,2.6,27.4
2020_13117,2020,GA,FORSYTH,-33.2,98.5,15.6,14,15.6,14,-62.8,-47.2,-33.2,129305,54.8,18.3,72.5,2.3,24.4
2020_13121,2020,GA,FULTON,46.5,98.8,11.8,4.9,11.8,4.9,29.8,41.6,46.5,524659,54.5,13.4,40.400000000000006,4,46.9
2020_13135,2020,GA,GWINNETT,18.2,98.6,15.1,12.4,15.1,12.4,-9.2,5.8,18.2,413865,37.4,25.3,40.5,2.8,36.2
2020_13197,2020,GA,MARION,-26.6,99,-12.1,-4.4,12.1,4.4,-10.1,-22.2,-26.6,3624,13.4,3.8,24.2,3.3,31.3
2020_13201,2020,GA,MILLER,-46.5,99.3,-11.9,3.4,11.9,3.4,-37.9,-49.8,-46.5,2835,18.6,0.4,22,3.8,30
2020_13269,2020,GA,TAYLOR,-26.9,99.1,-11.9,-4.3,11.9,4.3,-10.6,-22.5,-26.9,3839,12.5,3,5,2.4,32.4
2020_13307,2020,GA,WEBSTER,-7.8,99.8,-12.5,6.2,12.5,6.2,-1.6,-14.1,-7.8,1390,11,5.3,7.5,3,28.7
2020_15007,2020,HI,KAUAI,28.8,97.9,-15.6,-4.9,15.6,4.9,49.3,33.7,28.8,33497,28.5,15.9,48.5,2.3,35.3
